quality,Difficulty,Mistakes,Length,Capitals in article,Title Polarity,Dominance,No Celebs,Diversity,Inspired,Valence,Arousal,Afraid,Joy intensity,Anticipation,Strong subjectivity,first_person,Adjectives,I do not care,Amused,Mistakes,Sad_,Surprise,Annoyed,Numbers,Noimages,Afinnity,Trust,Sadness,Happy,Fear intensity,Disgust,Sadness intensity,Positivity,Anger intensity,Entertainment,No Crime,No Sensual,No Animals,cursing
1,50,0.999092229484386,1037,0,0.5,0.586586440677966,1,1,11.5631691648822,0.602640677966103,0.467701694915254,11.7773019271949,0.179867469879518,8.137044967880088,0.0376084860173578,316.297010607522,0.141327623126338,7.92291220556745,5.995717344753751,0.999092229484386,4.282655246252681,1.0706638115631701,2.1413276231263403,9,11.0,-13.0,7.49464668094218,5.13918629550321,10.2783725910064,0.145,2.1413276231263403,0.110819277108434,11.5631691648822,0.10921686746988,6,1,2,2,0
1,53,0.989342618972249,920,0,0.0,0.545298387096774,0,7,10.02331002331,0.553266129032258,0.461491935483871,10.955710955711,0.14405,6.06060606060606,0.0217391304347826,327.173913043478,0.0979020979020979,7.2261072261072306,7.45920745920746,0.989342618972249,6.06060606060606,2.56410256410256,6.29370629370629,10,7.0,-95.0,9.79020979020979,6.29370629370629,12.121212121212098,0.29725,3.4965034965035,0.16785,15.6177156177156,0.20685,22,21,0,1,0
1,41,0.999450096233159,647,0,0.16499999999999998,0.546399103139013,2,7,13.4730538922156,0.582295964125561,0.444565022421525,8.383233532934131,0.080775,8.982035928143711,0.0524691358024691,375.579598145286,0.173652694610778,6.58682634730539,11.6766467065868,0.999450096233159,5.6886227544910195,0.29940119760479,2.69461077844311,10,9.0,2.0,5.3892215568862305,3.59281437125749,10.7784431137725,0.142975,2.69461077844311,0.146075,11.377245508982,0.151125,4,1,0,1,0
0,60,0.999794026776519,524,0,0.0,0.609869863013699,0,5,10.038610038609999,0.670335616438356,0.442869863013698,3.47490347490348,0.311413793103448,5.019305019305019,0.0438931297709924,286.259541984733,0.0733590733590734,7.722007722007719,9.65250965250965,0.999794026776519,1.54440154440154,0.386100386100386,2.7027027027027,0,6.0,35.0,10.8108108108108,0.772200772200772,11.196911196911199,0.105724137931034,0.386100386100386,0.0948620689655172,11.969111969112001,0.0608275862068966,3,2,1,0,0
0,69,1.0,385,0,0.3,0.49601724137931,0,4,10.476190476190501,0.553948275862069,0.454224137931035,8.095238095238098,0.191125,3.3333333333333304,0.038961038961039,311.688311688312,0.0476190476190476,9.52380952380952,7.6190476190476195,1.0,12.857142857142902,3.3333333333333304,3.8095238095238098,2,4.0,-28.0,7.142857142857139,5.23809523809524,14.7619047619048,0.22459375,1.9047619047619,0.33003125,8.571428571428571,0.08428125,1,0,1,0,0
0,55,0.999365482233502,316,0,0.0,0.579106194690266,0,0,15.333333333333302,0.59070796460177,0.461902654867257,7.33333333333333,0.0845,2.6666666666666696,0.0126582278481013,379.74683544303804,0.133333333333333,7.33333333333333,9.33333333333333,0.999365482233502,6.66666666666667,0.0,4.0,0,2.0,6.0,12.0,0.0,10.0,0.183111111111111,1.33333333333333,0.0295555555555556,12.666666666666698,0.0717222222222222,1,1,0,0,0
1,38,1.0,1112,0,0.375,0.583286458333333,2,11,8.955223880597009,0.604367187500001,0.439169270833334,7.675906183368871,0.193564516129032,6.183368869936039,0.041366906474820095,310.251798561151,0.219616204690832,8.31556503198294,9.59488272921109,1.0,4.6908315565032,2.13219616204691,7.462686567164179,13,1.0,72.0,13.0063965884861,6.82302771855011,10.2345415778252,0.0915322580645161,1.06609808102345,0.0691290322580645,16.204690831556498,0.0212258064516129,2,0,0,0,0
0,66,1.0,1254,2,0.0,0.54527989821883,1,8,12.217194570135698,0.617407124681934,0.464114503816794,14.705882352941199,0.343638554216867,8.1447963800905,0.0606060606060606,348.484848484849,0.165158371040724,15.610859728506801,15.610859728506801,1.0,8.597285067873301,4.07239819004525,4.977375565610861,2,9.0,58.0,7.918552036199089,2.03619909502262,16.289592760181,0.088,2.2624434389140298,0.0746626506024096,13.5746606334842,0.0931807228915663,26,2,22,1,0
0,62,0.999355462455688,624,2,0.5,0.53958762886598,1,3,8.92307692307692,0.587824742268042,0.489340206185567,8.0,0.24995652173913,6.46153846153846,0.0528846153846154,294.87179487179503,0.0984615384615385,8.0,4.615384615384619,0.999355462455688,4.92307692307692,2.76923076923077,1.53846153846154,1,6.0,-8.0,8.0,2.76923076923077,9.538461538461538,0.207934782608696,1.84615384615385,0.0837826086956522,12.6153846153846,0.212760869565217,11,2,5,3,0
1,40,0.999861168957379,1358,0,0.0,0.594242352941176,2,16,9.66719492868463,0.579637647058823,0.464974117647059,8.874801901743268,0.156883720930233,4.75435816164818,0.0544518027961737,434.462444771723,0.172741679873217,6.18066561014263,7.60697305863708,0.999861168957379,5.07131537242472,2.85261489698891,4.59587955625991,5,2.0,-13.0,13.7876386687797,3.01109350237718,13.3122028526149,0.21890697674418602,1.743264659271,0.0626046511627907,16.7987321711569,0.12556976744186,14,9,0,3,0
1,42,0.999873912495272,768,0,0.0,0.55384,1,4,9.21052631578947,0.591728888888889,0.478711111111111,7.89473684210526,0.261169811320755,1.84210526315789,0.0390117035110533,355.46875,0.131578947368421,8.15789473684211,7.36842105263158,0.999873912495272,11.052631578947402,0.263157894736842,3.42105263157895,2,3.0,-12.0,5.0,3.15789473684211,10.0,0.182679245283019,2.36842105263158,0.104339622641509,10.0,0.104849056603774,7,4,1,1,0
